tweet_text,cyberbullying_type
#MileyCyrus Miley Cyrus Shocks With Insensitive 'Date Rape Joke' And 'Gay Comments' [WATCH VIDEO] http://ift.tt/1lacZqj,gender
It doesn’t matter if he’s gay. Rape happens in jail. People joke about it but that shit is real.,gender
"“I’m not gonna apologize for my rape jokes, I’m not gonna apologize for my gay jokes or Mexican jokes or white jokes or… — I...Don't think he said that. If he did I missed it and I apologize. If ya wanna send me ss of him saying so, feel free https://curiouscat.me/springtae154/post/691124133?1540783104",gender
On my end at least. If i wanna call somebody a bitch imma tell them they a bitch male female dog idm,gender
"Ladies, let’s start calling men “Males” because I’m sick of every other tweet being “females this, females that” bitch do u call other men “Males” when speaking about them?",gender
RT @VSVPDeezyy_ Not sexist but there are certain things that a woman can't tell me NOTHING about.,gender
NY Post Makes Gay Rape Joke on Jared Fogle Cover #gaypride #lgbtnews http://webogi.com/3vFYnu,gender
Absolutely. So will gay men also be criminalised? Is it rape and abuse for a man to pay another man for sex? Is it sexist to assume its not?? Will the Nordic model apply to only women? Same questions for trans there too. Can Sarah champion answer??,gender
She doesn't give a shit what you think. STAGGERING @Cooohkies This girl across from me has a jungle on each leg #Pleaseshave #NotSexist,gender
"@red_den I worked with a lad who did a rape joke once, I had a go at him about it. He wasn't a women hater, very camp, gay and loved women.",gender
"RT @thetrudz: + Lauren's name. Defended misuse of ""chief!"" To an Indigenous woman critiquing settler colonialism! Then she insulted Aura, &amp;…",not_cyberbullying
@clipperteas because your target demographic is 1950s businessmen apparently. Fun fact: Don Draper fucking loves tea,not_cyberbullying
@jchackert that's a scary thought :P,not_cyberbullying
hey santa monica college thanks for making class enrollment really simple and easy oh wait jk you didn't,not_cyberbullying
@fries_cj what time was it?,not_cyberbullying
@Lithobolos @DixieSportsman @GirlPainting @KLSouth @AmyMek @peddoc63 @jjauthor Who cares who said it.  It is true. http://t.co/QXSJxf0cEN,not_cyberbullying
@justorea Hahahahahhaahahahahahahahahahahahahahahahahahahahahahahahahahaha (( bulling weeey,not_cyberbullying
Someone sent pizza to the wrong address. Again. /baph is so incredibly incompetent. FreeBSD is supportive as usual. http://t.co/RFiG4kp3nr,not_cyberbullying
"New Jersey Schools to have US toughest anti-bullying laws - 18 pages of requirements, and league tables : http://t.co/MAdEo9b #edchat #edlaw",not_cyberbullying
Oops typo I meant ONE big bowl of shit #mkr,not_cyberbullying
THATS just how horrid Kat is.,not_cyberbullying
"@VinCastronovo Guess what?!!? IM getting a tattoo that says #GRAND or ""Starve a bully,feed your soul"" on my wrist! but a real one! #WEIRD",not_cyberbullying
@PresidentKassie go to raddy and you will get your present 🎁,not_cyberbullying
RT @tokyoDiamond___: boring ass Saturday ð¤¦ð½ââï¸ #di,not_cyberbullying
"Time and again, telling myself to get over it but many thoughts flood my mind.",not_cyberbullying
@MEGXICO TRUMBULL KID IS SUPER NICE! seriously thought you were in bed this entire time. Make sure I tell you about the animals,not_cyberbullying
"@sarahjeong yo, do you know of a reliable breakdown of harassment/stalking laws for each state?",other_cyberbullying
RT @_DUDEImVida: ð¤¦ð½ââï¸ I hate a run and tell ya business ass bitch,other_cyberbullying
Penny Arcade forced victims of sexual assault to be public with their stories so we could protect others.,other_cyberbullying
RT @shanemadden: @freebsdgirl It's about ethics in controllers on dogs. http://t.co/oYgB4cLN9W,other_cyberbullying
"@JayWCobb Where's ""leadership are idiots who have no idea what they're doing"" ?",other_cyberbullying
I den raised my son @ShawnCollins30 to be a bully..so watch out bitches,other_cyberbullying
"Mark Kern: ""Freedom of expression. Will you join us?"" [Repeat]",other_cyberbullying
@thechewandvomit @delibernation @spinsvixenella She is clueless about bullying,other_cyberbullying
Fuck You And Die: An Oral History of Something Awful,other_cyberbullying
"@ArkangelWinter personally, I talk to mutual friends privately to try to get them to help. I only callout if they are deliberately harmful",other_cyberbullying
"@Cactus_Soup90 tweetdeck is owned by twitter, and was bought around the time that devpolicy was changed.",other_cyberbullying
"On the other hand, I think it had value. Maybe. I can only hope that law enforcement watches that show. *sigh*",other_cyberbullying
"They don't relate to these women on social media. these activists, these feminists. they don't relate to them. they are more humble.",other_cyberbullying
@scm ooo. that's old school. i didn't even think of that.,other_cyberbullying
"Fuck it, I'll just play The Sims 4. Because Origin never breaks, right?",other_cyberbullying
@alexvdl0 @Chriss_m LOLLLLLLL,other_cyberbullying
Lmaoo I love when idiots say they’re an ethnicity before they’re Muslim. Sound so stupid. You are Bani Adam. The children of Adam. Adam isn’t even from Earth. Adam was a Muslim from the Heavens. So how are you an ethnicity before a Muslim?,religion
"@omarsuleiman504 @asimb Chapel Hill is not surprising. What is surprising is that given the level of Islamic terrorism, there is so little.",religion
"@dankmtl Here, butthead, this gives a good summary of the Muslim persecution of Christians in Palestine. http://t.co/gvLellbFdP",religion
@anjemchoudary @JihadiA8 Sharia put the Muslim world 1000 years behind the rest of civilization and tortured minorities.,religion
@IftikharAwan Did your prophet behead people like ISIS - yes.  Did he enslave people like ISIS - yes.  Did he murder people like ISIS - yes.,religion
"This is not a war crime. This was a blessing for the sake of humanity. If you are upset about this terrorist being killed, you support jihad and are yourself a terrorist.",religion
"Lets treat the police like we treated Muslims. One bad apple equals 1.5 billion. You people legit voted for banning all Muslims, ya sick fucks. #idiots",religion
@MaxBlumenthal Islamophobia - fear of this. http://t.co/NWjzljBhOe,religion
"I think you need to reeducate yourself idiot. The faces of people in China, Japan, Korea &amp; Northeast India changed after WWII. Read the consequences of Atom Bombs on Hiroshima &amp; Nagasaki. By the way, u better learn how muslims lived their life in early stage's 1400 years back.",religion
no one's laughing with you idiot. Just because a white girl called it a diet you continued to use it and fat-shame people? You call yourself a Muslim but can't even respect a person and the religion you follow.,religion
Jihad means struggle and ppl started struggling with humanity called terrorists,religion
Except 1) He isn’t Muslim and 2) you’re an idiot,religion
"@discerningmumin It's not a prophet competition. It's about following a fraud who owned slaves, had people murdered, was a bigot, etc.",religion
Still no action taken by Christian terrorist @jack and @misskaul .You both are terrorists who support Radical chrislamist and I will keep exposing them and you. Islamists and christians are brainwashing people that hindus are demons and must be saved.Hindu gods are demons.Act now,religion
"Bro first of all understand hraja is pointing radical islamic terrorism, not normal muslims, if u dont understand watch the speeches of vellore syed ibrahim to know what hindu leaders are pointing out all muslims have wrong thought about bjp &amp; rss, thats need to be changed",religion
You fuckin idiot LMAO “attracted” to Islam.... is Islam a fashion trend to you or—???? He converted to Islam because it was his calling. Because he felt right and safe within it. There is nothing to “benefit” you moron. Us Muslims are slaves to Allah and ONLY Allah.,religion
