tweet_text,cyberbullying_type
@0xabad1dea @kelseytheodore2 twitter is basically the angry letters of our generation.,not_cyberbullying
"@ikralla fyi, it looks like I was caught by it. I'm not a botter, so...",other_cyberbullying
"I need to just switch to an organization-based github, but I don't want to pay $25/month because I'm cheap. :\",other_cyberbullying
"RMAed my monoprice. Shoddy power bricks on those. Getting a refund and picking up another ASUS VG278HE. It's cheaper, anyways.",other_cyberbullying
@murphy_slaw https://t.co/M8w8xnUnDL,other_cyberbullying
"@1Life0Continues i've got the code to interpret &amp; analyze, but the weights themselves are going to take a lot of fiddling.",other_cyberbullying
"@krainboltgreene didn't mention your name. i call out behavior, not people. &lt;3",other_cyberbullying
"Yeah, I've got a bit of a rageboner. Mentally speaking.",other_cyberbullying
RT @Laralyn: Uh... wow. https://t.co/CdoNLaApVr,other_cyberbullying
"The morning after, hung over, struggling to remember how that pile of o'reilly books ended up in your bed. ""WHAT DID I CODE LAST NIGHT""",other_cyberbullying
#mkr heading into 2017 with another instant restaurant round,other_cyberbullying
RT @BuzzFeedUK: When you accidentally open your front camera: http://t.co/gu35jqiPye,other_cyberbullying
That #BegaCheese ad is SO old I'm wondering if the old digger is still alive...  #MKR  lol,other_cyberbullying
@jeremiahfelt those are waaaaay more spendy. this is the drive i have. just considering using built-in or if i should go software.,other_cyberbullying
@Jason_Gio he was already given my email a while ago by someone else.,other_cyberbullying
Yo lala is a #lowkey bully lmao,other_cyberbullying
"They are wearing pagers. Not in the ""I'm on call for a datacenter"" kind of way. Legit pagers.",other_cyberbullying
"Sudeep, did she invite him though? No right? Why are you getting worded up? You're okay with Parvesh Verma cause he speaks against Muslims but against an idiot like Imam because he called for chakka jam?",religion
@discerningmumin Islam has never been a resistance to oppression. It has always been source of oppression to both believers and non believer,religion
"Boy, your comment about Journalists wanting to keep churches closed is beneath you. As a Christian woman and human being your bosses filth is brushing off on you. Not at all unbiased and a down right lie. SHAME ON YOU.",religion
@ShashiTharoor @INCIndia Hindus were and are getting killed by Muslims terriorists in Kashmir. Congress mukt bharat will certainly happen if congressmen like you don’t change their idealogies and keep sounding like idiots. You actually don’t need enemies.,religion
"White supremicists? How many do you know? There a few idiots in all races. Where is anti-semitism coming from? Dems, BLM, Antifa, Muslims. You won’t appease them by throwing white supremacy. They hate you &amp; want to destroy Israel &amp; all Jews &amp; you know it.",religion
Urban naxal and a jihadi TT gang put together..wen more than 95% ot the population are happy to be united as one nation inspite of their diversity...who the F are u to preach otherwise..ur just a petty muslim activist...or should i say ground operative for Islamic Terrorism,religion
@OneLegSandpiper @DblBlackDs So what is to blame for the more than 100 Islamist terrorists organizations? The Book of Mormon?,religion
"It's not bjp, it's about you guys always support bad Muslims which makes you bad too, stop supporting those idiots..Hindus never do that..!!",religion
"@PetaIndia @peta IDIOTS, Rakshabandhan is a Hindu festival, and Hindus by their nature protect COWS! If you have guts put same poster and Tweet, for any Muslim festival! Now shut the f..k up and get lost",religion
But I think junk that u r born through Halala pl check Ur DNA bcz u people marry Ur chacheri mamaeri phuphurei sister how can u mentain this is ur actual face &amp; lastly the result is HALALAA . Abdul am I right HV u guts to say anything about Islamic Terrorism no bcz they r Ur com,religion
"@SecPompeo We did not say ""Let's make the white palace a mosque"", ""Let's open Hagia Sophia for the worship of the Muslims"". +++ we didn't ask you, pompeo. Or against your will understand that the old Turkey, or we (like an idiot teaches) will teach.",religion
What has happened to NYC.. it is not a Muslim stronghold. Have you forgotten 9-11 And who attacked u.s. idiot bush and the muslim Obama nation,religion
The Muslim Brotherhood President of Egypt was removed in 2013 by Obama... You guys are idiots.,religion
"Pence is a clear example of radical right wing hypocrisy! Not to mention support of illegal, unethical action by such a so-called Christian!",religion
"You should visit a Muslim country and see how WOKE they are, right before you're beheaded like the 2 British girl idiots who thought vacationing in Morocco was a ""good idea"". Don't be Blonde, err I mean stupid.",religion
"U can't accept Godse is terrorist, but still I'm hypocrite?. There is Islamic terrorism, there's Hindutva terrorism etc. It's there in every religion.U've such a 'big' brain but can't look up what's terrorism. Cause u can't accept the existence of one terrorist in ur community",religion
